,Open,High,Close
760,119.07,119.75,117.6
761,116.85,118.77,118.62
762,117.51,117.57,116.47
763,114.91,116.86,116.31
764,115.44,115.74,114.67
765,113.94,115.69,115.47
766,114.27,117.28,113.99
767,113.15,114.19,114.18
768,111.8,113.45,112.82
769,109.38,111.43,111.25
770,108.7,109.75,109.7
771,109.02,109.33,108.83
772,108.75,109.32,109.01
773,108.6,108.79,108.7
774,109.1,109.3,108.86
775,109.36,109.49,108.6
776,108.22,110.3,109.4
777,108.01,108.04,108.0
778,106.96,107.35,106.98
779,106.65,107.37,107.34
780,105.4,106.74,106.74
781,104.85,105.48,105.11
782,105.18,105.49,105.22
783,104.08,105.05,104.83
784,102.84,104.11,102.99
785,103.02,103.02,102.47
786,98.32,99.96,99.76
787,97.5,99.0,97.67
788,95.55,97.72,96.26
789,97.97,99.15,97.54
790,100.39,100.52,98.75
791,101.33,101.78,99.81
792,100.69,102.03,100.73
793,101.54,102.38,101.02
794,98.76,101.11,100.8
795,99.43,100.12,98.75
796,99.95,100.65,99.62
797,99.44,100.21,99.62
798,99.27,100.22,99.9
799,100.59,100.69,99.18
800,100.81,101.54,100.75
801,98.65,100.44,100.11
802,98.53,100.75,100.75
803,100.51,100.71,97.87
804,102.16,102.85,101.75
805,100.6,102.94,102.64
806,101.8,102.14,101.06
807,102.29,102.35,100.96
808,101.93,102.35,101.79
809,101.27,101.8,101.58
810,99.8,101.26,100.86
811,102.81,103.05,101.63
812,101.21,102.19,101.66
813,100.41,101.44,101.43
814,98.01,101.11,101.0
815,99.08,103.08,97.99
816,99.3,99.31,98.36
817,98.8,99.39,98.97
818,98.85,100.09,98.12
819,103.1,103.2,98.94
820,103.06,103.74,103.3
821,102.86,102.9,102.5
822,102.13,102.78,102.25
823,101.02,102.57,102.13
824,101.42,101.5,100.89
825,101.79,102.17,101.54
826,100.29,101.47,101.32
827,100.57,100.94,100.58
828,100.44,101.09,100.57
829,99.41,100.68,100.53
830,98.49,99.37,99.16
831,97.9,98.19,97.98
832,97.33,97.57,97.5
833,96.15,97.24,97.24
834,96.04,96.88,95.97
835,95.27,96.08,95.99
836,94.26,94.82,94.74
837,94.93,95.95,94.48
838,94.75,95.48,94.96
839,95.36,95.68,95.12
840,96.37,96.58,95.59
841,94.9,96.62,96.13
842,97.16,97.45,95.6
843,98.44,98.7,98.15
844,99.33,99.44,98.38
845,97.82,99.24,99.02
846,96.85,97.84,97.67
847,97.04,97.32,97.03
848,95.42,97.88,97.19
849,94.68,94.89,94.72
850,94.99,95.0,93.94
851,93.62,94.74,94.43
852,95.03,95.28,93.09
853,96.97,97.1,94.78
854,96.8,96.85,95.32
855,95.86,96.89,96.45
856,95.36,95.89,95.22
857,93.76,95.55,95.04
858,95.44,95.95,95.39
859,96.27,96.8,95.35
860,94.14,95.99,95.97
861,93.67,94.1,94.03
862,93.86,94.06,93.48
863,93.52,94.07,93.52
864,92.1,93.72,92.93
865,90.82,92.0,91.98
866,90.37,91.05,90.9
867,90.21,90.7,90.36
868,90.75,91.74,90.28
869,91.32,91.62,90.83
870,91.85,92.55,90.91
871,92.29,92.3,91.86
872,92.27,92.29,92.18
873,92.31,92.7,92.08
874,91.51,92.75,92.2
875,92.2,92.44,91.28
876,94.04,94.12,92.29
877,94.13,94.76,93.86
878,94.73,95.05,94.25
879,92.7,93.88,93.7
880,92.84,93.04,92.22
881,92.31,92.77,92.48
882,91.06,92.56,92.12
883,89.78,91.25,91.08
884,90.57,90.69,89.81
885,91.14,92.02,90.43
886,89.69,90.98,90.77
887,89.43,89.98,89.14
888,87.98,89.41,89.38
889,86.75,87.82,87.73
890,86.66,87.12,86.75
891,86.26,86.67,86.62
892,86.36,86.63,86.39
893,85.41,86.76,86.37
894,84.09,85.36,85.36
895,84.96,85.23,84.12
896,84.63,85.34,84.84
897,84.57,84.93,84.82
898,83.93,84.81,84.69
899,83.51,83.75,83.65
900,84.04,84.92,84.0
901,85.04,85.33,84.62
902,85.97,86.34,84.92
903,84.31,85.86,85.85
904,84.62,84.89,84.65
905,84.57,84.97,84.5
906,84.66,85.63,84.3
907,84.82,85.14,84.62
908,81.83,85.11,84.87
909,80.65,81.71,81.71
910,81.17,81.43,81.11
911,75.58,75.88,74.96
912,75.47,75.98,75.96
913,75.05,76.02,75.88
914,74.29,75.39,74.99
915,74.01,74.44,74.14
916,74.32,74.52,73.99
917,74.56,74.59,74.53
918,74.14,74.69,74.23
919,75.81,76.03,74.78
920,74.66,75.78,75.76
921,75.03,75.16,74.78
922,75.43,75.84,74.78
923,77.12,77.14,75.97
924,77.34,77.5,76.97
925,77.48,77.64,77.51
926,76.82,77.41,77.38
927,77.03,77.26,76.68
928,76.9,76.99,76.69
929,77.14,77.36,76.78
930,78.07,78.43,77.11
931,77.36,77.96,77.86
932,76.92,77.21,77.03
933,75.99,76.25,76.12
934,75.7,76.1,75.53
935,76.04,76.61,75.89
936,75.13,76.0,75.91
937,75.39,75.71,75.25
938,75.54,75.84,74.96
939,76.78,77.09,75.81
940,76.36,76.76,76.66
941,76.49,76.96,76.58
942,75.48,76.19,75.85
943,75.87,76.0,75.78
944,76.11,76.35,75.82
945,75.85,76.39,76.05
946,75.86,76.09,75.89
947,74.77,75.81,75.39
948,75.58,76.11,75.18
949,73.88,75.54,75.38
950,74.8,75.0,73.91
951,75.63,75.65,74.58
952,74.74,75.7,75.36
953,76.11,76.37,75.04
954,76.14,76.71,75.88
955,77.82,78.13,76.77
956,78.0,78.74,78.0
957,77.5,78.0,77.71
958,76.38,77.84,77.78
959,76.71,77.08,76.56
960,75.8,76.82,76.57
961,74.09,76.0,75.57
962,74.48,74.7,74.24
963,72.87,73.36,73.22
964,72.37,73.61,73.23
965,72.26,72.78,72.68
966,71.8,72.53,71.65
967,70.74,71.65,71.51
968,71.79,72.36,71.4
969,71.99,72.48,71.54
970,72.68,73.57,72.36
971,78.58,79.26,78.64
972,79.14,79.37,78.01
973,78.56,79.5,79.45
974,78.7,79.61,78.79
975,77.28,78.58,78.44
976,78.78,78.87,77.24
977,79.27,79.55,79.18
978,79.07,80.03,79.62
979,76.89,78.1,78.06
980,75.7,77.5,76.53
981,77.12,77.26,76.13
